;;;;;;;;;;;;;;Cost
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;.;.;.;.;.;.;.;.;.;.;.;#;;
#;#;#;B;#;B;#;D;#;A;#;#;#;;0
;;#;D;#;C;#;B;#;A;#;;;;
;;#;D;#;B;#;A;#;C;#;;;;
 ;;#;C;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;.;.;#;;
#;#;#;.;#;B;#;D;#;A;#;#;#;;30
;;#;D;#;C;#;B;#;A;#;;;;
;;#;D;#;B;#;A;#;C;#;;;;
 ;;#;C;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;.;D;#;;
#;#;#;.;#;B;#;D;#;A;#;#;#;;10030
;;#;.;#;C;#;B;#;A;#;;;;
;;#;D;#;B;#;A;#;C;#;;;;
 ;;#;C;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;.;.;.;.;.;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;A;#;#;#;;20030
;;#;.;#;C;#;B;#;A;#;;;;
;;#;.;#;B;#;A;#;C;#;;;;
 ;;#;C;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;.;.;.;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;A;#;#;#;;20530
;;#;.;#;C;#;B;#;A;#;;;;
;;#;.;#;B;#;A;#;C;#;;;;
 ;;#;.;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;#;#;#;#;#;;
#;B;C;.;.;.;.;.;.;.;D;D;#;;
#;#;#;.;#;B;#;D;#;.;#;#;#;;20541
;;#;.;#;C;#;B;#;A;#;;;;
;;#;.;#;B;#;A;#;C;#;;;;
 ;;#;A;#;A;#;D;#;C;#;;;;
 ;;#;#;#;#;#;#;#;#;#;;;;
